"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00006750","Jane Harman (D-Calif)","216175770","566678002","391426886","2006","H","Center for Responsive Politics",""
"N00007017","Darrell Issa (R-Calif)","158580056","516300001","337440028","2006","H","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","300768027","373027999","336898013","2006","S","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","221589484","313990127","267789805","2006","S","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-24520706","407911974","191695634","2006","H","Center for Responsive Politics",""
"N99999962","Henry M. Paulson","89867023","164830002","127348512","2006","E","Center for Responsive Politics",""
"N99999981","Donald H. Rumsfeld","59708082","194445001","127076541","2006","E","Center for Responsive Politics",""
"N00000308","Edward M. Kennedy (D-Mass)","43351040","162293999","102822519","2006","S","Center for Responsive Politics",""
"N99999987","John W. Snow","61899036","131160001","96529518","2006","E","Center for Responsive Politics",""
"N99999977","Samuel W. Bodman III","67032051","124355000","95693525","2006","E","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","54878021","126548002","90713011","2006","S","Center for Responsive Politics",""
"N00002315","Robin Hayes (R-NC)","32122164","132981999","82552081","2006","H","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","49392297","109719018","79555657","2006","S","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","45501164","112601017","79051090","2006","S","Center for Responsive Politics",""
"N00002383","Charles H. Taylor (R-NC)","56056018","77341001","66698509","2006","H","Center for Responsive Politics",""
"N99999961","Carlos Gutierrez","22697027","105630000","64163513","2006","E","Center for Responsive Politics",""
"N00006237","Dick Cheney (R)","21354026","100060000","60707013","2006","E","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","22766190","76265000","49515595","2006","H","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","17409136","75888000","46648568","2006","H","Center for Responsive Politics",""
"N00009954","Lincoln D. Chafee (R-RI)","38022082","47864029","42943055","2006","S","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","15326725","64179668","39753196","2006","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","-9292881","86371990","38539554","2006","H","Center for Responsive Politics",""
"N00008071","Elizabeth Dole (R-NC)","16107137","58346000","37226568","2006","S","Center for Responsive Politics",""
"N00003709","Mike DeWine (R-Ohio)","14426433","59657000","37041716","2006","S","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","28417187","45345013","36881100","2006","S","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","9724038","62111999","35918018","2006","H","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","10960095","57178994","34069544","2006","H","Center for Responsive Politics",""
"N00027565","John Campbell (R-Calif)","13504082","52188000","32846041","2006","H","Center for Responsive Politics",""
"N00025443","Bob Beauprez (R-Colo)","9419013","55364991","32392002","2006","H","Center for Responsive Politics",""
"N00004645","Denny Rehberg (R-Mont)","6348013","55744997","31046505","2006","H","Center for Responsive Politics",""
"N00000019","Hillary Clinton (D-NY)","10460009","51052000","30756004","2006","S","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","2687042","53801998","28244520","2006","H","Center for Responsive Politics",""
"N00009888","Lamar Alexander (R-Tenn)","11644764","43964726","27804745","2006","S","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr. (R-Wis)","21144691","31042632","26093661","2006","H","Center for Responsive Politics",""
"N00003147","Bill Frist (R-Tenn)","10127029","39614002","24870515","2006","S","Center for Responsive Politics",""
"N00012586","Chris Chocola (R-Ind)","10580059","37925000","24252529","2006","H","Center for Responsive Politics",""
"N00002599","John Linder (R-Ga)","8762014","38730000","23746007","2006","H","Center for Responsive Politics",""
"N00027694","Claire McCaskill (D-Mo)","14709141","32664002","23686571","2006","S","Center for Responsive Politics",""
"N00007815","Gordon H. Smith (R-Ore)","8236081","38469059","23352570","2006","S","Center for Responsive Politics",""
"N00002877","E. Clay Shaw Jr. (R-Fla)","7427028","37704999","22566013","2006","H","Center for Responsive Politics",""
